,short_name,cluster
282,E. Forsberg,1
283,F. Kostić,1
284,M. Politano,1
285,Rafa,2
286,Pepe Reina,0
287,D. De Rossi,0
288,Aduriz,1
289,Jesús Navas,1
290,Santi Cazorla,1
291,H. Herrera,1
292,L. Biglia,1
293,L. Fabiański,1
294,E. Viviano,1
295,Juan Mata,1
296,O. Giroud,1
297,S. Kjær,1
298,Willian,1
299,V. Ćorluka,1
300,M. Arnautović,1
301,A. Sánchez,1
302,Giuliano,1
303,A. Kolarov,1
304,M. Balotelli,1
305,Marlos,1
306,Taison,1
307,B. Dost,1
308,G. Bonaventura,1
309,Pedro,1
310,L. de Jong,1
311,S. El Shaarawy,1
312,Ander Herrera,1
313,X. Shaqiri,1
314,Mário Fernandes,1
315,S. Coates,1
316,C. Bakambu,1
317,T. Meunier,1
318,K. Bellarabi,1
319,J. Lingard,1
320,Q. Promes,1
321,J. Vardy,1
322,D. Zapata,0
323,Morales,1
324,Raphaelito Anjos,1
325,Juiano Mestres,1
326,Rosberto Dourado,1
327,E. Schetino,0
328,J. Sildero,0
329,L. Martínez,1
330,H. Aouar,2
331,T. Ndombele,2
332,Éder Militão,1
333,A. Cragno,1
334,D. van de Beek,1
335,V. Lindelöf,1
336,Dani Ceballos,0
337,Pablo Fornals,1
338,E. Can,1
339,Gayà,1
340,David Neres,1
341,P. Zieliński,1
342,G. Rulli,0
343,G. Xhaka,1
344,Rafinha,1
345,G. Kondogbia,1
346,M. Sabitzer,1
347,L. Shaw,1
348,J. Martínez,1
349,A. Doucouré,1
350,W. Ndidi,1
351,T. Horn,1
352,W. Orban,1
353,A. Plea,1
354,Y. Poulsen,1
355,R. Fraser,1
356,M. Ginter,1
357,R. Guerreiro,1
358,João Mário,1
359,Thiago Mendes,1
360,A. Izzo,1
361,M. Brozović,1
362,A. Ljajić,1
363,J. Corona,1
364,Jordi Masip,1
365,T. Vaclík,1
366,L. Milivojević,1
367,Gerard Moreno,1
368,W. Weghorst,1
369,Quaresma,1
370,J. Mathieu,0
371,J. Milner,1
372,L. López,0
373,B. Gomis,1
374,M. Dembélé,1
375,Cesc Fàbregas,1
376,A. Consigli,1
377,L. Koscielny,1
378,Jardel,1
379,Renato Augusto,1
380,José Fonte,0
381,A. Guardado,1
382,L. Piszczek,0
383,K. Gameiro,1
384,D. Payet,1
385,Beñat,1
386,Adán,1
387,B. Höwedes,1
388,F. Muslera,1
389,M. Sissoko,1
390,M. Parolo,1
391,Fernando,1
392,N. Gaitán,1
393,S. Giovinco,1
394,Luiz Gustavo,1
395,N. Nkoulou,1
396,N. Matić,1
397,Marcos Alonso,1
398,H. Mkhitaryan,1
399,André Almeida,1
400,A. Florenzi,1
401,E. Zahavi,1
402,F. Vázquez,1
403,Lucas Vázquez,1
404,Dani García,1
405,M. Acuña,1
406,Laure Santeiro,1
407,J. Frendado,0
408,S. Ardero,0
409,L. Dálves,0
410,S. Mandíquez,0
411,João Félix,2
412,N. Barella,0
413,J. Gomez,1
414,A. Christensen,1
415,M. Maignan,1
416,Y. Tielemans,1
417,Mario Hermoso,1
418,Carlos Soler,1
419,M. Caldara,1
420,H. Winks,1
421,K. Piątek,1
422,Diogo Jota,1
423,Marcos Llorente,1
424,F. Mendy,1
425,Melendo,1
426,Rúben Dias,1
427,D. Livaković,1
428,Héctor Bellerín,1
429,B. Mendy,1
430,M. Dembélé,1
431,O. Vlachodimos,1
432,Santi Mina,1
433,Rony Lopes,1
434,J. Correa,1
435,T. Bakayoko,1
436,M. Eggestein,1
437,Odriozola,1
438,M. Gómez,1
439,Sergi Darder,1
440,K. Zouma,1
441,L. Paredes,1
442,N. Aké,1
443,E. Hysaj,1
444,André Gomes,1
445,K. Baldé,1
446,J. Weigl,1
447,V. Rongier,1
448,Yeray,1
449,Loren,1
450,R. Rodríguez,1
451,A. Oxlade-Chamberlain,1
452,Campaña,1
453,A. Mandi,1
454,Deulofeu,1
455,Bernat,1
456,E. Andrada,1
457,M. Keane,1
458,J. Quintero,1
459,Samu Castillejo,1
460,W. Benítez,1
461,A. Rebić,1
462,E. Bailly,1
463,M. Almirón,1
464,M. Lazzari,1
465,M. Lanzini,1
466,J. Zoet,1
467,M. Ryan,1
468,Sergi Gómez,1
469,H. Vanaken,1
470,M. Hinteregger,1
471,M. Nastasić,1
472,Gabriel,1
473,C. Wilson,1
474,J. Guilavogui,1
475,D. Klaassen,1
476,P. Kadeřábek,1
477,C. Kramer,1
478,Iñigo Martínez,1
479,Portu,1
480,Manu Trigueros,1
481,H. Çalhanoğlu,1
482,M. Dabbur,1
483,M. Halstenberg,1
484,M. Vecino,1
485,M. Dúbravka,1
486,M. Dmitrović,1
487,Joaquín,0
488,W. Rooney,1
489,Moyá,0
490,Nani,1
491,J. Mascherano,0
492,Diego López,0
493,I. Akinfeev,1
494,A. Gignac,1
495,Jorge Molina,0
496,B. Costil,1
497,L. Perrin,1
498,B. Foster,0
499,T. Heaton,1
500,S. Mandanda,1
501,Charles,1
502,S. Radu,1
503,D. Rose,1
504,E. Lamela,1
505,Raúl García,1
506,Naldo,0
507,D. Wass,1
508,S. Romero,1
509,Pedro León,1
510,I. Piatti,1
511,D. Ospina,1
512,M. Díaz,1
513,M. Valbuena,1
514,L. Bender,1
515,S. Bender,1
516,E. Capoue,1
517,Antunes,1
518,R. Fährmann,0
519,F. Fazio,1
520,M. Hasebe,0
521,Sidnei,1
522,D. Perotti,1
523,L. Pratto,1
524,S. Feghouli,1
525,K. Trippier,1
526,M. Musacchio,1
527,Y. M'Vila,1
528,L. Stindl,1
529,F. Smolov,1
530,S. Nzonzi,0
531,F. Coquelin,1
532,Hulk,1
533,K. Strootman,1
534,C. Smalling,1
535,K. Glik,1
536,E. Salvio,1
537,D. Subašić,1
538,K. Vogt,1
539,R. Pereyra,1
540,Y. Belhanda,1
541,Sergi Enrich,1
542,D. Lovren,1
543,S. Verdi,1
544,L. Muriel,1
545,D. Vida,1
546,Ibai Gómez,1
547,S. Berghuis,1
548,Cristian Tello,1
549,Ismaily,1
550,F. Ghoulam,1
551,S. Sané,1
552,S. Zaza,1
553,S. Vrsaljko,1
554,Pozuelo,1
555,R. Jiménez,1
556,Bernard,1
557,T. Stepanenko,1
558,F. Armani,1
559,I. Marcone,1
560,Jony,1
561,Mata,1
562,M. Marega,1
563,Everton Andrão,0
564,Welington Dano,1
565,J. Serendero,0
566,M. Baldona,0
567,M. Nérez,0
568,Vinícius Jr.,2
569,R. Bentancur,1
570,Lucas Paquetá,1
571,A. Wan-Bissaka,1
572,A. Lafont,0
573,I. Konaté,1
574,Merino,1
575,S. Berge,1
576,L. Pellegrini,1
577,F. Chiesa,1
578,Dani Olmo,1
579,R. Zobnin,1
580,A. Saint-Maximin,1
581,C. Pavón,1
582,T. Kehrer,1
583,C. Pulisic,1
584,F. Kessié,1
585,A. Hakimi,0
586,D. Samassékou,1
587,Marc Roca,1
588,D. Zagadou,1
589,V. Tsygankov,1
590,De Tomás,1
591,R. Loftus-Cheek,1
592,S. Lobotka,1
593,J. Denayer,1
594,L. Klostermann,1
595,A. Golovin,1
596,A. Diallo,1
597,B. Pavard,1
598,M. Rashica,1
599,B. Chilwell,1
600,Wesley,1
601,T. Souček,1
602,Junior Firpo,1
603,J. Ward-Prowse,1
604,A. Januzaj,1
605,Otávio,1
606,N. Stark,1
607,A. Iwobi,1
608,J. Gbamin,1
609,Munir,1
610,Angeliño,1
611,J. Maddison,1
612,André Silva,1
613,Richarlison,1
614,S. Nakajima,1
615,Raphinha,1
616,E. Dier,1
617,L. Trossard,1
618,Jonny,1
619,M. Sanson,1
620,J. Lerma,1
621,L. Dubois,1
622,F. Grillitsch,1
623,L. Cabrera,1
624,R. Barkley,1
625,J. Murillo,0
626,J. Tarkowski,1
627,L. Karius,0
628,N. Pope,1
629,J. Brooks,1
630,M. Batshuayi,1
631,M. Arnold,1
632,S. Kolašinac,1
633,F. Schär,1
634,Ricardo Horta,1
635,L. Alario,1
636,Mariano,1
637,R. Aguilar,1
638,F. Balbuena,1
639,S. Mustafi,1
640,G. Pezzella,1
641,D. da Costa,1
642,W. Boly,1
643,B. Davies,1
644,Fred,1
645,M. Samatta,1
646,Diego Carlos,1
647,K. Toko-Ekambi,1
648,A. Lunev,0
649,R. Malinovskyi,1
650,M. Sakho,1
651,J. King,1
652,H. Seferović,1
653,Laguardia,1
654,P. Jones,1
655,S. Aurier,1
656,L. Spinazzola,1
657,K. Lala,1
658,S. Arias,1
659,D. Baselli,1
660,T. Savanier,1
661,Leo Baptistao,1
662,J. Veltman,1
663,D. Zappacosta,1
664,Wu Lei,1
665,David Villa,0
666,B. Yılmaz,1
667,A. Mirante,0
668,S. Kalou,1
669,Dante,0
670,M. Debuchy,0
671,E. Lavezzi,0
672,Borja Valero,0
673,M. Škrtel,0
674,J. Evans,1
675,D. Valeri,1
676,N. Moisander,0
677,D. Criscito,1
678,A. Candreva,1
679,Marcano,1
680,K. Boateng,1
681,A. Fernández,1
682,N. Guzmán,0
683,Nacho Monreal,0
684,Ángel,1
685,Granero,1
686,Éder,1
687,R. Vormer,1
688,S. Coleman,1
689,A. Lallana,1
690,A. Modeste,1
691,M. Gradel,1
692,Yuri Berchiche,1
693,Mariano,0
694,O. Toprak,0
695,N. Kalinić,1
696,C. Stuani,1
697,S. Ulreich,1
698,K. Asamoah,1
699,Alex Teixeira,1
700,S. Lulić,1
701,S. Rondón,1
702,S. Kagawa,1
703,J. Wilshere,1
704,Guaita,1
705,Cote,1
706,Iago Falqué,1
707,J. Pastore,1
708,Maicon,1
709,F. Orellana,1
710,Elkeson,1
711,Kike García,1
712,Escudero,1
713,Mario Gaspar,1
714,Herrerín,1
715,Víctor Ruiz,1
716,I. Belfodil,1
717,A. Yarmolenko,1
718,W. Khazri,1
719,E. Pérez,0
720,D. Caligiuri,1
721,Danilo,1
722,N. Pallois,1
723,Vitolo,1
724,M. Badelj,0
725,C. Tătărușanu,1
726,Zé Luís,1
727,D. Suárez,1
728,Roque Mesa,0
729,Mário Rui,1
730,T. Inui,1
731,D. Cheryshev,1
732,C. Bacca,1
733,A. Samaris,1
734,J. Hector,1
735,Rubén Peña,1
736,A. Hamdallah,1
737,D. Benedetto,1
738,L. Sigali,1
739,Raúl,1
740,Petros,1
741,Dyego Sousa,1
742,Soares,1
743,Rubén Alcaraz,1
744,Maikel Catarino,0
745,Antônio Chiamuloira,1
746,Melvin Parrela,1
747,Gabri Prestão,1
748,Luimo Boas Santos,1
749,D. Lenzado,0
750,E. Riquero,0
751,L. Sáreda,0
752,E. Aguerro,0
753,A. Meret,1
754,I. Sarr,1
755,D. Rice,1
