,short_name,cluster
3237,G. Haraguchi,0
3238,F. Sánchez,0
3239,S. Vittor,0
3240,A. Mosquera,0
3241,M. Pisano,0
3242,D. Delgado,0
3243,J. Cristaldo,0
3244,F. Melchiorri,0
3245,M. Barrios,0
3246,T. Zwane,0
3247,R. García Guerreño,0
3248,A. Ibargüen,0
3249,Cesinha,0
3250,Xavier,0
3251,Andrei Girotto,0
3252,J. Laso,0
3253,Jaim Abra,0
3254,Freder Cabral,0
3255,Juli Piresinho,0
3256,Vinicius Cardenha,0
3257,Ailton Valpaços,0
3258,Juliano Mascarinhas,0
3259,Gustavo Lobateiro,0
3260,Evandro Rochedo,0
3261,Michel Cruceiro,0
3262,Pierrino Faria,0
3263,Nivo Serpinho,0
3264,Oswaldito Cuba,0
3265,Mauro Cildinho,0
3266,Édundo Oliveira,0
3267,Paolito Serra,0
3268,Pietrson Mendes,0
3269,Luis Couprins,0
3270,Marcos Paneira,0
3271,Gus Outomouro,0
3272,Benjamin Meseira,0
3273,C. de Pena,0
3274,N. Skubic,0
3275,C. Peralta,0
3276,R. Morioka,0
3277,M. Higashiguchi,0
3278,T. Shiotani,0
3279,D. Zabala,0
3280,B. Dibassy,0
3281,E. Karaca,0
3282,D. Liénard,0
3283,Douglas Armeira,0
3284,M. Taremi,0
3285,A. Alfárnez,0
3286,V. Sabanter,0
3287,E. Lardero,0
3288,T. Almada,1
3289,A. Davies,1
3290,Y. Verschaeren,1
3291,J. Dilrosun,1
3292,A. Claude Maurice,1
3293,B. Soumaré,1
3294,R. Nelson,1
3295,Jota,1
3296,D. Lainez,1
3297,M. Aarons,1
3298,Tete,1
3299,D. James,0
3300,S. Longstaff,0
3301,A. Bastoni,0
3302,M. Cuisance,0
3303,D. Man,0
3304,Nuno Tavares,0
3305,M. Mehlem,0
3306,B. Cufré,0
3307,J. Lewis,0
3308,Ayrton,0
3309,F. Tomori,0
3310,Diogo Leite,0
3311,I. Gómez,0
3312,O. Ejaria,0
3313,A. Caci,0
3314,J. Torunarigha,0
3315,G. Togni,0
3316,S. Żurkowski,0
3317,A. Olsen,0
3318,N. González,0
3319,C. Dagba,0
3320,P. Schuurs,0
3321,C. Gakpo,0
3322,T. Băluță,0
3323,Aihen Muñoz,0
3324,S. Scuffet,0
3325,S. Luperto,0
3326,J. Komar,0
3327,J. Boga,0
3328,Jorge Sáenz,0
3329,S. McKenna,0
3330,B. Tetteh,0
3331,Léo Duarte,0
3332,Lucas Fernandes,0
3333,G. Kobel,0
3334,F. Ballo-Touré,0
3335,L. Vido,0
3336,K. Galanopoulos,0
3337,K. Rüegg,0
3338,O. Alderete,0
3339,Manu Morlanes,0
3340,H. Türkmen,0
3341,M. Targett,0
3342,J. Onguéné,0
3343,Adrián Marín,0
3344,J. Murillo,0
3345,F. Ayé,0
3346,Ronaldo Vieira,0
3347,L. Abram,0
3348,E. Atuesta,0
3349,S. Vasiliadis,0
3350,D. Lischka,0
3351,A. Cerri,0
3352,S. Guirassy,0
3353,E. Fernandes,0
3354,S. Vegas,0
3355,S. Posch,0
3356,D. Verde,0
3357,Léo Jardim,0
3358,M. Fares,0
3359,S. Adegbenro,0
3360,I. Mbenza,0
3361,A. Dioussé,0
3362,E. Mor,0
3363,A. Peñaranda,0
3364,L. Mühl,0
3365,G. Escobar,0
3366,M. Maolida,0
3367,B. Tekpetey,0
3368,M. Murillo,0
3369,E. Rexhbeçaj,0
3370,D. Limnios,0
3371,I. Nedelcearu,0
3372,B. Samudio,0
3373,Brandon Thomas,0
3374,B. Davies,0
3375,Fábio Cardoso,0
3376,B. Cortés,0
3377,F. Vicari,0
3378,Saúl,0
3379,J. Brownhill,0
3380,O. Govea,0
3381,C. Gruezo,0
3382,A. Leya Iseka,0
3383,R. Gudiño,0
3384,J. Drommel,0
3385,Sergi Palencia,0
3386,A. Montero,0
3387,A. Calabresi,0
3388,E. Kwateng,0
3389,R. Canouse,0
3390,R. Sallai,0
3391,O. Etebo,0
3392,D. Lamkel Zé,0
3393,J. Schouten,0
3394,Marc Cardona,0
3395,I. Pettersson,0
3396,J. Léa Siliki,0
3397,N. Reniero,0
3398,L. Singh,0
3399,Nacho Vidal,0
3400,M. Sáček,0
3401,D. Vavro,0
3402,D. Nedelcu,0
3403,Heriberto Tavares,0
3404,Vinícius,0
3405,M. Suárez,0
3406,B. de Nooijer,0
3407,A. Musrati,0
3408,A. González,0
3409,A. Barison,0
3410,A. Halilović,0
3411,E. Ofori,0
3412,Carlos Júnior,0
3413,E. Koulouris,0
3414,B. Manuel,0
3415,Z. Kalmár,0
3416,O. Çınar,0
3417,S. Bastien,0
3418,S. Amrabat,0
3419,J. Otero,0
3420,D. Crowley,0
3421,M. Moreno,0
3422,A. Bobichon,0
3423,Diego González,0
3424,J. Harper,0
3425,Aitor,0
3426,A. Murgia,0
3427,K. Tsimikas,0
3428,Y. Suzuki,0
3429,J. Sánchez,0
3430,Domingos Duarte,0
3431,Gelson Dala,0
3432,Santi Comesaña,0
3433,J. Rodríguez,0
3434,B. Srarfi,0
3435,L. Koutris,0
3436,L. Kalvach,0
3437,C. Doukouré,0
3438,J. Murphy,0
3439,S. Tibbling,0
3440,B. Osborn,0
3441,C. Jean,0
3442,M. Grimes,0
3443,J. Jones,0
3444,I. Fossum,0
3445,B. Bolingoli,0
3446,D. Sinkgraven,0
3447,J. De Sart,0
3448,D. Ndong,0
3449,S. Perica,0
3450,E. Horvath,0
3451,David Costas,0
3452,M. Kanno,0
3453,F. Mattiello,0
3454,L. Mazzitelli,0
3455,Vigaray,0
3456,P. Michorl,0
3457,C. Akolo,0
3458,S. Prevljak,0
3459,Juan Muñoz,0
3460,J. Pollersbeck,0
3461,J. Butez,0
3462,M. Gakpa,0
3463,Nuno Santos,0
3464,J. Kouassi,0
3465,C. Ikonomidis,0
3466,M. Malyshev,0
3467,K. Pedersen,0
3468,A. Diakhaby,0
3469,N. Ampomah,0
3470,Carlinhos,0
3471,Jandrei,0
3472,M. de los Santos,0
3473,B. Acosta,0
3474,A. Besedin,0
3475,A. Čermák,0
3476,G. Fernández,0
3477,M. Ducksch,0
3478,A. Hoffmann,0
3479,S. Ortega,0
3480,N. Powell,0
3481,T. Kalas,0
3482,D. Fagundez,0
3483,M. Franke,0
3484,M. Bettinelli,0
3485,Iván López,0
3486,P. Bamford,0
3487,Q. Beunardeau,0
3488,C. Benavente,0
3489,K. Peterson,0
3490,R. Azeez,0
3491,U. Radaković,0
3492,S. Dimitrievski,0
3493,J. Swift,0
3494,S. Moreira,0
3495,S. Gustafson,0
3496,P. Díaz,0
3497,S. Schonlau,0
3498,A. Allione,0
3499,P. Gerkens,0
3500,Erik,0
3501,M. Oikonomou,0
3502,J. Elez,0
3503,Dani Calvo,0
3504,V. Karavaev,0
3505,S. Khaoui,0
3506,A. Mendy,0
3507,M. Bani,0
3508,J. Dompé,0
3509,Carlos Embaló,0
3510,C. Espinoza,0
3511,Ivo Rodrigues,0
3512,Anderson Lopes,0
3513,L. Kleinheisler,0
3514,S. Juklerød,0
3515,N. Dovedan,0
3516,P. Hamel,0
3517,N. Sangaré,0
3518,F. Eboa Eboa,0
3519,D. Jensen,0
3520,A. Najar,0
3521,B. Martins Indi,0
3522,M. Ozdoev,0
3523,M. Bešić,0
3524,F. Sørensen,0
3525,H. Van Der Bruggen,0
3526,M. Møller Dæhli,0
3527,J. Bahebeck,0
3528,B. Assombalonga,0
3529,I. Diomandé,0
3530,F. Veseli,0
3531,J. Okore,0
3532,G. Saville,0
3533,M. Frey,0
3534,S. Byram,0
3535,O. Nguette,0
3536,M. Flekken,0
3537,E. Roco,0
3538,W. Trapp,0
3539,S. Piette,0
3540,A. Fransson,0
3541,G. Celis,0
3542,J. Nieto,0
3543,J. Toljan,0
3544,G. Ortíz,0
3545,L. Faravelli,0
3546,V. García,0
3547,Y. Kubo,0
3548,N. Gyömbér,0
3549,C. Falletti,0
3550,Alex Alegría,0
3551,F. Ricci,0
3552,Léo Bonatini,0
3553,G. Poblete,0
3554,J. Riedewald,0
3555,E. Thommy,0
3556,S. Moreo,0
3557,F. Diedhiou,0
3558,M. Doumbia,0
3559,A. Tashaev,0
3560,M. Mahi,0
3561,D. Álvarez,0
3562,C. Guanca,0
3563,Y. Boli,0
3564,A. Tarek,0
3565,Dalmau,0
3566,A. Warda,0
3567,J. Attamah,0
3568,L. Höler,0
3569,A. Sedlar,0
3570,L. Rosić,0
3571,J. Menéndez,0
3572,Pedrinho,0
3573,G. Kvilitaia,0
3574,N. Moumi Ngamaleu,0
3575,L. Blessing,0
3576,A. Abedzadeh,0
3577,Alexandre Guedes,0
3578,C. Antwi-Adjej,0
3579,C. Zimmermann,0
3580,Y. Bárcenas,0
3581,J. El Yamiq,0
3582,A. Shabanov,0
3583,M. Jevtović,0
3584,A. Helal,0
3585,K. Bartley,0
3586,E. Muñoz,0
3587,A. Saldívar,0
3588,V. Sasso,0
3589,M. Henriksen,0
3590,W. Foderingham,0
3591,V. Belec,0
3592,M. Hector,0
3593,Lucas Piazon,0
3594,M. Bruno,0
3595,A. Ba,0
3596,O. Lewicki,0
3597,J. Akpa Akpro,0
3598,D. Jevtić,0
3599,J. Giraudon,0
3600,J. Velázquez,0
3601,K. Sema,0
3602,Aketxe,0
3603,E. Brítez,0
3604,Dankler,0
3605,M. Diemers,0
3606,J. Güemez,0
3607,M. Thiam,0
3608,M. Al Buraik,0
3609,J. Correa,0
3610,A. Bouchalakis,0
3611,Sergio Herrera,0
3612,V. Salazar,0
3613,K. Narey,0
3614,Bruno Gaspar,0
3615,Thiago Santana,0
3616,Jhonatan,0
3617,S. Memišević,0
3618,L. Štetina,0
3619,A. Smithies,0
3620,L. Ayling,0
3621,D. Polenta,0
3622,M. Johansson,0
3623,S. Johnson,0
3624,R. Sawyers,0
3625,M. Zimmermann,0
3626,A. Forshaw,0
3627,J. Börner,0
3628,J. Iturbe,0
3629,L. Hejda,0
3630,T. Xhaka,0
3631,Fernando Canesín,0
3632,T. Sušić,0
3633,Pulido,0
3634,C. Knasmüllner,0
3635,R. Žulj,0
3636,R. Matos,0
3637,K. McLean,0
3638,I. Kovács,0
3639,I. Balliu,0
3640,V. Misidjan,0
3641,A. Benali,0
3642,T. Smith,0
3643,M. Trotta,0
3644,M. Seuntjens,0
3645,M. Wagué,0
3646,Vako,0
3647,S. Peeters,0
3648,Rafael Silva,0
3649,O. Tannane,0
3650,A. Yiadom,0
3651,R. Ripart,0
3652,A. Mühling,0
3653,João Teixeira,0
3654,Y. Al Shahrani,0
3655,A. Struna,0
3656,M. Al Owais,0
3657,Carlos Hernández,0
3658,A. Voglsammer,0
3659,G. Zardes,0
3660,J. Marié,0
3661,S. Barreiro,0
3662,J. Rojas,0
3663,R. Gómez,0
3664,E. Olivera,0
3665,G. Peruzzi,0
3666,R. Emond,0
3667,Danilo,0
3668,F. Ben Mustapha,0
3669,Simy,0
3670,Rober Ibáñez,0
3671,A. Pešić,0
3672,O. Rivero,0
3673,L. Mancuso,0
3674,Tiago,0
3675,M. Hawsawi,0
3676,A. Canelo,0
3677,M. Jonjić,0
3678,R. Lod,0
3679,A. Issoko,0
3680,C. Fai,0
3681,João Amaral,0
3682,K. Rezaei,0
3683,O. Kanté,0
3684,J. González,0
3685,B. Planić,0
3686,M. Rosenberg,0
3687,F. Coloccini,0
3688,C. Gordon,0
3689,L. Grant,0
3690,T. Huddlestone,0
3691,C. Terzi,0
3692,M. Rensing,0
3693,G. Pazzini,0
3694,A. Rosina,0
3695,D. Maietta,0
3696,Y. Endo,0
3697,S. Bossut,0
3698,Aitor Sanz,0
3699,I. Damonte,0
3700,J. Bottinelli,0
3701,L. Pocrnjic,0
3702,A. Cordaz,0
3703,C. Jallet,0
3704,E. Barreto,0
3705,V. Găman,0
3706,C. Lucchetti,0
3707,G. Fernández,0
3708,S. Carson,0
3709,N. Asare,0
3710,K. Reichel,0
3711,J. Beausejour,0
3712,J. Barroso,0
3713,J. Pitroipa,0
3714,N. Champagne,0
3715,P. Bardsley,0
3716,B. Sagna,0
3717,N. Lombaerts,0
3718,Eduardo,0
3719,B. Guzan,0
3720,C. Théréau,0
3721,S. Ward,0
3722,N. Navarro,0
3723,R. Elm,0
3724,K. Nababkin,0
3725,S. Kaya,0
3726,Y. Cahuzac,0
3727,J. Sorbon,0
3728,Omar Ramos,0
3729,M. Suttner,0
3730,S. Floccari,0
3731,R. Shawcross,0
3732,R. Shotton,0
3733,Christian Fernández,0
3734,De la Bella,0
3735,J. Basanta,0
3736,David Fernández,0
3737,O. Kaya,0
3738,P. Kone,0
3739,F. Dionisi,0
3740,F. Ceravolo,0
3741,B. Feilhaber,0
3742,Mateus,0
3743,R. De Laet,0
3744,Kwoun Sun Tae,0
3745,Choi Chul Soon,0
3746,A. Ramos,0
3747,L. Jutkiewicz,0
3748,M. Iturra,0
3749,Suso Santana,0
3750,H. Özmert,0
3751,A. Jędrzejczyk,0
3752,Bueno,0
3753,Sergio Sánchez,0
3754,A. Cerci,0
3755,D. Ciofani,0
3756,Bracali,0
3757,U. Demirok,0
3758,M. Gavranović,0
3759,M. Heller,0
3760,E. Derdiyok,0
3761,Fernandinho Silva,0
3762,K. Nakamura,0
3763,D. McGoldrick,0
3764,M. Kozáčik,0
3765,M. Martins,0
3766,A. Wilkinson,0
3767,Hao Junmin,0
3768,Yu Hanchao,0
3769,M. Langerak,0
3770,C. Beauvue,0
3771,L. Barrios,0
3772,M. Škoda,0
3773,J. Morávek,0
3774,F. Lemoine,0
3775,A. Weber,0
3776,E. Mulder,0
3777,T. Chevalier,0
3778,N. Roux,0
3779,Orlando Sá,0
3780,Ricardo Ferreira,0
3781,M. Diskerud,0
3782,M. Pazdan,0
3783,M. Coda,0
3784,D. Kadah,0
3785,V. Forren,0
3786,O. Nyland,0
3787,M. Rybus,0
3788,A. Clayton,0
3789,K. Adénon,0
3790,K. Naughton,0
3791,G. Vural,0
3792,Alberto,0
3793,A. Adomah,0
3794,J. Montero,0
3795,R. Wolf,0
3796,M. Diouf,0
3797,J. Pereira,0
3798,Sandro Manoel,0
3799,R. Vargas,0
3800,Simao Mate,0
3801,L. Immers,0
3802,R. Gutiérrez,0
3803,F. Cacciatore,0
3804,A. Budimir,0
3805,S. Wuytens,0
3806,M. Iori,0
3807,R. Meggiorini,0
3808,P. Schiattarella,0
3809,M. Sau,0
3810,L. Kozák,0
3811,Laure,0
3812,L. Siligardi,0
3813,Thiago Cionek,0
3814,C. Pinsoglio,0
3815,F. Jungwirth,0
3816,L. Ariaudo,0
3817,Diego Farías,0
3818,A. Rispoli,0
3819,Álvaro,0
3820,Fábio,0
3821,Da Costa,0
3822,M. Vejinović,0
3823,S. Armenteros,0
3824,C. Nhamoinesu,0
3825,Y. Ravet,0
3826,P. Tachtsidis,0
3827,Guedes,0
3828,E. Adu,0
3829,J. Bennett,0
3830,O. Gonzalez,0
3831,D. Aleksić,0
3832,J. Schieber,0
3833,M. Frantz,0
3834,M. Besler,0
3835,K. Hansen,0
3836,S. Al Faraj,0
3837,T. Usami,0
3838,S. Koroki,0
3839,Souza,0
3840,M. Albornoz,0
3841,K. Nordfeldt,0
3842,R. Krhin,0
3843,C. Buchtmann,0
3844,L. Narsingh,0
3845,M. Duffy,0
3846,A. Luthe,0
3847,I. Mboyo,0
3848,G. Kashia,0
3849,D. Falcinelli,0
3850,C. Trimmel,0
3851,C. Mavinga,0
3852,M. Schmiedebach,0
3853,André Santos,0
3854,B. Kayal,0
3855,A. Novikovas,0
3856,I. Hajrović,0
3857,S. Clucas,0
3858,Flavio Paixão,0
3859,Keko,0
3860,N. Mendez-Laing,0
3861,F. Wiedwald,0
3862,F. Moubandje,0
3863,A. Abdennour,0
3864,A. Ragusa,0
3865,T. Ream,0
3866,G. Castellani,0
3867,S. Tecl,0
3868,Dani Rodríguez,0
3869,Álvaro Arroyo,0
3870,S. Romagnoli,0
3871,Kim Bo Kyung,0
3872,Ji Dong Won,0
3873,A. Losilla,0
3874,Sebá,0
3875,Y. Court,0
3876,W. Lautoa,0
3877,L. Caldirola,0
3878,R. Métanire,0
3879,N. Höfler,0
3880,M. Pérez,0
3881,N. Boilesen,0
3882,Salomão,0
3883,Y. Mokhtar,0
3884,Carles Planas,0
3885,T. Ince,0
3886,Isaac Cuenca,0
3887,L. Carole,0
3888,T. Přikryl,0
3889,M. Le Bihan,0
3890,L. Memushaj,0
3891,C. Gytkjær,0
3892,B. Kadrii,0
3893,Juankar,0
3894,M. Capuano,0
3895,A. Morales,0
3896,M. Ostrzolek,0
3897,A. Behich,0
3898,J. Plata,0
3899,Y. Orozco,0
3900,Sin Jin Ho,0
3901,M. Tosetti,0
3902,C. Löwe,0
3903,W. Soliman,0
3904,Welthon,0
3905,A. Jóhannsson,0
3906,Y. Touzghar,0
3907,J. Fjóluson,0
3908,J. Korb,0
3909,G. Núñez,0
3910,C. Kerbrat,0
3911,R. Álvarez,0
3912,T. Leistner,0
3913,M. Bauer,0
3914,I. Piris,0
3915,S. Gentiletti,0
3916,L. Abecasis,0
3917,M. Pucciarelli,0
3918,C. Chávez,0
3919,W. Katsande,0
3920,T. Ben Haim,0
3921,G. Sakai,0
3922,M. Rohdén,0
3923,Filipe Augusto,0
3924,I. Santini,0
3925,Patrick,0
3926,O. Boumal,0
3927,A. Wooten,0
3928,M. Danielson,0
3929,N. Al Abed,0
3930,Renato Santos,0
3931,R. Quioto,0
3932,J. Vigón,0
3933,F. Chafik,0
3934,Júlio Tavares,0
3935,M. Fofana,0
3936,D. Kądzior,0
3937,M. Grüttner,0
3938,Frédéric Mendy,0
3939,M. Chanot,0
3940,S. Michel,0
3941,G. Țucudean,0
3942,S. Martinsson Ngouali,0
3943,S. Sáez,0
3944,C. Suárez,0
3945,W. Tesillo,0
3946,V. Hernández,0
3947,M. Rangel,0
3948,A. Silva,0
3949,D. Andrade,0
3950,D. Banguero,0
3951,L. Castro,0
3952,R. Lenis,0
3953,L. Reyes,0
3954,E. Insúa,0
3955,J. Copete,0
3956,F. Márquez,0
3957,C. Menéndez,0
3958,J. Schunke,0
3959,I. Seck,0
3960,R. Delgado,0
3961,G. Letizia,0
3962,J. Pivarić,0
3963,Marco Sangalli,0
3964,B. Pelé,0
3965,S. Nishikawa,0
3966,Djavan,0
3967,K. Molino,0
3968,M. Abarhoun,0
3969,Cafú,0
3970,Pedro Tiba,0
3971,E. Cerutti,0
3972,L. Rizzo,0
3973,Gabriel Xavier,0
3974,D. Villalpando,0
3975,V. Kjartansson,0
3976,D. Dibusz,0
3977,Zhang Xizhe,0
3978,F. Mladenović,0
3979,Cao Yunding,0
3980,S. Griesbeck,0
3981,V. Aguilera,0
3982,N. Acevedo,0
3983,J. Lucero,0
3984,Jonathan Cafú,0
3985,C. Chimino,0
3986,L. Ramos,0
3987,D. Martínez,0
3988,G. Lanaro,0
3989,A. Schenetti,0
3990,P. Gallese,0
3991,J. Moreira,0
3992,M. Bakakis,0
3993,J. Jones,0
3994,D. Lemos,0
3995,Amilton,0
3996,Jorge Carvallinho,0
3997,Clayton Fildeiras,0
3998,Carleto Costinha,0
3999,Mauro Riboas,0
4000,Santi da Bruma,0
4001,Thiago Alminxa,0
4002,Cristian Lodeira,0
4003,Walter Silvieiro,0
4004,Josué da Feira,0
4005,Jonas Damasto,0
4006,Joshuando Sá,0
4007,Jeff Meirson,0
4008,Alexandre Frandeira,0
4009,Otávinho Vila,0
4010,Sandelas Júnior,0
4011,Timo Triano,0
4012,Pimentiscinho,0
4013,Vieiraldo Junior,0
4014,Porphirinho,0
4015,Alessinito,0
4016,Leordinho Paes,0
4017,Jairinhazo,0
4018,Jessé Ledeiro,0
4019,Adrián Burnabão,0
4020,Paulao Junqueiras,0
4021,Nilsito Vilela,0
4022,Hugo Rubiães,0
4023,Gustavo Sauer,0
4024,M. Frýdek,0
4025,G. Carabajal,0
4026,Garrido,0
4027,Vágner Corraldo,0
4028,Rômulo Calsede,0
4029,C. Quintana,0
4030,Perdigão,0
4031,S. Hernández,0
4032,C. Bernardi,0
4033,Enzo Merques,0
4034,Marlion Simões,0
4035,O. Karavaev,0
4036,Bebeto,0
4037,S. Rybalka,0
4038,O. Fernández,0
4039,J. Veria,0
4040,B. Vendaza,0
4041,W. Saliba,0
4042,Riqui Puig,1
4043,G. Maroni,0
4044,Paulinho,0
4045,J. Todibo,1
4046,Fernando,1
4047,A. Palaversa,0
4048,I. Sissoko,0
4049,E. Elmas,0
4050,O. Kökçü,0
4051,Francisco Trincão,0
4052,M. Clarke,0
4053,K. Balanta,0
4054,D. Fry,0
4055,G. Pezzella,0
4056,Evander,0
4057,D. Maresic,0
4058,B. Mbeumo,0
4059,Emerson,0
4060,J. Souttar,0
4061,K. Grant,0
4062,B. Godfrey,0
4063,G. Taylor,0
4064,Lluis López,0
4065,Dodô,0
4066,V. Nelsson,0
4067,E. Eze,0
4068,M. Wagué,0
4069,R. Petretta,0
4070,T. Malacia,0
4071,P. Daka,0
4072,A. Tello,0
4073,F. Romagna,0
4074,J. Bacuna,0
4075,D. Barinov,0
4076,Rafa Mir,0
4077,M. Valenzuela,0
4078,C. Adjapong,0
4079,J. González,0
4080,I. Ganago,0
4081,A. Saelemaekers,0
4082,N. Katić,0
4083,M. Sadílek,0
4084,C. Halkett,0
4085,Manu García,0
4086,M. Somma,0
4087,V. Angban,0
4088,T. Awoniyi,0
4089,Z. Bakaev,0
4090,K. Danso,0
4091,M. Spielmann,0
4092,Bremer,0
4093,H. Bandé,0
4094,G. Bouzoukis,0
4095,J. Paintsil,0
4096,L. Vera,0
4097,Álex Díez,0
4098,N. Moro,0
4099,Kikas,0
4100,Douglas Augusto,0
4101,B. Kapustka,0
4102,L. Suárez,0
4103,E. Amor,0
4104,S. Abdullahi,0
4105,P. Köpke,0
4106,Matheus Pereira,0
4107,N. Dorsch,0
4108,J. Harrison,0
4109,C. Eiting,0
4110,F. Jensen,0
4111,K. Bonifazi,0
4112,Guilherme Schettine,0
4113,D. Muñoz,0
4114,J. Chabot,0
4115,J. Álvarez,0
4116,S. Moutoussamy,0
4117,M. Vrousai,0
4118,H. Reed,0
4119,C. Nørgaard,0
4120,K. Acosta,0
4121,J. Marriott,0
4122,M. Valjent,0
4123,David Raya,0
4124,R. Coly,0
4125,F. Tănase,0
4126,J. Rodríguez,0
4127,O. Oularé,0
4128,G. Pușcaș,0
4129,O. Boscagli,0
4130,O. Estupiñán,0
4131,E. Remedi,0
4132,Lazo,0
4133,J. Elías,0
4134,Diogo Gonçalves,0
4135,B. Trawally,0
4136,Lourency,0
4137,Murilo,0
4138,B. Özcan,0
4139,A. Chatzigiovanis,0
4140,L. Štulac,0
4141,K. Letica,0
4142,Luquinhas,0
4143,B. Alıcı,0
4144,J. Valencia,0
4145,Rui Silva,0
4146,L. Baker,0
4147,C. O'Dowda,0
4148,B. Guillaume,0
4149,J. Castelletto,0
4150,Gumbau,0
4151,A. Schlager,0
4152,M. Zaccagni,0
4153,M. Manotas,0
4154,Rúben Lameiras,0
4155,Hwang Hee Chan,0
4156,J. Siebatcheu,0
4157,S. Findlay,0
4158,A. Castro,0
4159,D. Cools,0
4160,S. Amallah,0
4161,Jordi Calavera,0
4162,F. Centonze,0
4163,C. De Norre,0
4164,J. Lucumi,0
4165,Miguelón,0
4166,R. Kristensen,0
4167,I. Sacko,0
4168,L. Agbenyenu,0
4169,S. Lobjanidze,0
4170,O. Kiteishvili,0
4171,H. Weydandt,0
4172,B. Angulo,0
4173,A. Briseño,0
4174,P. Bauer,0
4175,R. Woods,0
4176,A. Trondsen,0
4177,M. Pérez,0
4178,N. Ninković,0
4179,P. Frankowski,0
4180,S. Maguire,0
4181,P. Onuachu,0
4182,D. Kinsombi,0
4183,T. Kleindienst,0
4184,R. Loaiza,0
4185,P. Mwene,0
4186,J. Zimmer,0
4187,S. Uçan,0
4188,G. Lajud,0
4189,J. Ledesma,0
4190,J. Gómez,0
4191,G. Piovi,0
4192,J. Pohjanpalo,0
4193,D. Milošević,0
4194,L. Mousset,0
4195,A. Traoré,0
4196,P. Stojanović,0
4197,J. Morris,0
4198,C. Larin,0
4199,Brian Oliván,0
4200,G. Prömel,0
4201,G. Holtmann,0
4202,F. Bandinelli,0
4203,Jon Bautista,0
4204,M. Barbieri,0
4205,N. Leguizamón,0
4206,A. D'Alberto,0
4207,Artur,0
4208,J. Lefort,0
4209,M. Bero,0
4210,M. Bokadi,0
4211,M. Kaye,0
4212,M. Okugawa,0
4213,F. Gorriarán,0
4214,André Pereira,0
4215,A. Vallci,0
4216,Diego Caballo,0
4217,U. Ćosić,0
4218,J. Joronen,0
4219,O. Omoijuanfo,0
4220,D. Bisoli,0
4221,J. Murphy,0
4222,K. Stewart,0
4223,M. Tanković,0
4224,Jonatan Lucca,0
4225,D. Lenihan,0
4226,E. Hestad,0
4227,Tobias Figueiredo,0
4228,A. Zaldívar,0
4229,L. Villalba,0
4230,E. Godoy,0
4231,J. Cooper,0
4232,J. Abella,0
4233,J. Arzura,0
4234,Kang Hyeon Mu,0
4235,L. Di Plácido,0
4236,G. Jung,0
4237,H. Belkebla,0
4238,A. Kamara,0
4239,K. Ehizibue,0
4240,K. Mrabti,0
4241,P. Stenzel,0
4242,Nadjack,0
4243,C. Songkrasin,0
4244,P. Burner,0
4245,Y. Toyokawa,0
4246,P. Haring,0
4247,A. Rrahmani,0
4248,Vítor Tormena,0
4249,M. Hašek,0
4250,E. Zelazny,0
4251,S. Bain,0
4252,B. Wright,0
4253,T. Ciğerci,0
4254,C. Christie,0
4255,A. Milošević,0
4256,A. Taggart,0
4257,C. Nyman,0
4258,J. Blaswich,0
4259,I. Tandia,0
4260,O. Petrák,0
4261,Adryan,0
4262,Ruiz de Galarreta,0
4263,A. Lozano,0
4264,L. Antei,0
4265,J. Price,0
4266,J. Wallace,0
4267,Marcos Júnior,0
4268,M. Schuhen,0
4269,F. Malbašić,0
4270,T. Pledl,0
4271,A. Henríquez,0
4272,R. Kishna,0
4273,A. Callens,0
4274,S. Kerk,0
4275,J. Cabot,0
4276,I. Tajouri-Shradi,0
4277,Bressan,0
4278,R. Carrascal,0
4279,J. Rodríguez,0
4280,M. Rodríguez,0
4281,A. Sagal,0
4282,F. Pizzini,0
4283,P. Mainka,0
4284,A. Pantic,0
4285,H. Palacios,0
4286,J. Gradit,0
4287,W. Kanon,0
4288,J. Cabral,0
4289,L. Zingerle,0
4290,B. Schmitz,0
4291,W. Hahn,0
4292,G. Bettini,0
4293,Afonso Figueiredo,0
4294,Carraça,0
4295,E. Berggreen,0
4296,J. de Wijs,0
4297,Y. Barbet,0
4298,E. Burgos,0
4299,S. Davis,0
4300,J. Galván,0
4301,H. Wahl,0
4302,J. Šimunović,0
4303,W. Endo,0
4304,R. Oshima,0
4305,G. Fofana,0
4306,Y. Salmier,0
4307,Artur Jorge,0
4308,B. Țîru,0
4309,P. Tsintotas,0
4310,J. Arias,0
4311,D. Kolovetsios,0
4312,A. Preciado,0
4313,B. Barišić,0
4314,Felipe Curcio,0
4315,Fernando Andrade,0
4316,João Lucas,0
4317,F. Mrzljak,0
4318,P. Cucchi,0
4319,G. Makaridze,0
4320,H. Dean,0
4321,D. Batth,0
4322,K. Zohore,0
4323,Raúl Lizoain,0
4324,S. Lletget,0
4325,B. Afobe,0
4326,B. Wood,0
4327,Javier Espinosa,0
4328,S. van de Streek,0
4329,S. Ajayi,0
4330,F. Ceccherini,0
4331,P. Faragò,0
4332,Koo Ja Ryong,0
4333,L. Galeano,0
4334,A. Niane,0
4335,S. Decarli,0
4336,R. López,0
4337,Helton Leite,0
4338,M. Herrera,0
4339,S. Silva,0
4340,A. Çalık,0
4341,N. Oroz,0
4342,A. Oğuz,0
4343,C. Yambéré,0
4344,Kim Seung Joon,0
4345,R. Bajić,0
